reading_minutes,translation_used,reflections_written,recitation_pages,memorization_pages,reading_streak,recitation_streak,memorization_streak,inactivity_gap_hours,weekly_activity_trend,disengagement_risk
20,0,1,13,1.0,63,51,31,170,-0.41,1
0,0,0,3,3.2,61,55,100,58,0.5,0
55,0,2,12,4.7,57,100,53,135,0.73,0
53,1,0,7,3.2,15,12,0,75,-0.93,1
6,1,2,15,3.9,30,71,86,33,0.34,0
8,1,0,1,1.0,20,8,64,44,-0.33,1
23,1,2,2,3.8,50,49,11,11,0.19,0
32,0,1,11,3.0,27,47,93,184,-0.53,0
43,1,1,9,4.1,64,8,79,195,-0.54,0
1,0,2,8,2.9,36,61,63,55,-0.51,0
24,1,1,12,1.1,52,82,77,62,-0.95,0
4,0,0,16,4.2,38,20,15,71,-0.64,0
32,1,1,5,0.6,80,58,23,14,-0.12,0
29,1,0,6,2.1,10,72,0,157,0.02,1
49,1,0,18,1.3,54,13,27,111,-0.94,0
4,0,1,17,0.7,63,96,28,43,-0.35,0
52,0,1,17,1.4,56,69,94,0,-0.38,0
22,0,0,12,1.5,8,10,63,94,-0.4,1
1,1,2,14,3.2,12,25,47,49,-0.7,0
15,1,3,17,3.4,72,14,98,90,-0.01,0
8,1,0,0,1.6,67,95,87,47,-0.19,0
53,0,0,1,2.0,43,63,50,72,0.25,0
22,0,3,14,4.8,9,20,42,58,-0.48,0
13,0,2,5,3.0,10,38,77,80,0.41,0
37,1,1,8,4.7,62,48,56,171,0.12,0
15,0,0,7,3.7,61,2,66,107,0.13,0
18,0,1,16,2.5,14,47,60,154,-0.84,0
29,1,0,20,4.2,76,94,27,20,0.21,0
8,0,1,16,1.4,51,28,68,39,0.43,0
54,1,2,11,4.6,82,66,74,92,0.25,0
0,1,1,5,4.1,78,5,80,90,0.6,0
7,1,3,4,0.7,16,36,16,59,0.08,1
0,0,1,11,2.7,51,83,58,170,-0.37,0
36,0,1,16,4.0,88,32,73,112,0.87,0
22,1,2,1,0.6,50,79,97,179,-0.33,1
3,1,0,4,0.5,40,81,34,150,0.4,1
4,1,1,20,4.3,69,46,78,177,0.3,0
33,0,1,3,2.1,77,14,72,61,0.47,0
33,0,0,11,4.2,68,100,72,178,-0.04,0
12,0,1,8,3.7,17,66,76,53,0.49,0
19,0,1,8,1.9,83,88,32,133,-0.85,0
17,1,2,12,1.3,52,7,47,43,0.07,0
59,1,2,13,3.8,23,77,66,43,0.14,0
21,1,3,10,3.7,88,76,97,15,0.6,0
22,1,3,2,3.0,53,8,34,175,-0.44,1
58,1,2,16,3.9,39,100,57,132,-0.89,0
28,0,2,17,4.2,68,46,26,181,-0.23,0
32,0,0,5,3.0,12,52,60,177,0.13,1
49,0,2,12,4.8,37,5,96,18,-0.67,0
46,0,1,9,3.3,16,88,84,22,0.16,0
21,1,2,8,0.5,71,76,95,114,-0.8,0
0,1,2,15,1.4,77,18,17,126,-0.18,0
3,1,2,2,4.9,26,53,8,80,0.99,0
56,0,2,16,4.0,43,8,61,58,0.22,0
59,0,1,13,4.3,88,27,10,114,0.37,0
17,0,0,10,1.3,15,29,31,71,-0.5,1
52,1,1,12,2.5,13,21,11,7,0.43,0
43,0,3,16,4.4,39,13,56,163,-0.11,0
55,1,1,15,1.1,84,58,9,163,0.78,0
17,0,2,7,1.5,52,10,64,112,0.56,0
4,1,3,12,2.2,25,40,16,45,0.85,0
47,1,3,10,1.5,16,31,84,94,-0.86,0
26,1,1,10,1.1,14,51,10,5,0.24,0
6,1,1,18,1.5,22,1,28,191,-0.13,1
1,1,1,19,0.8,50,55,39,197,0.63,0
51,0,2,18,1.5,100,76,87,126,-0.75,0
33,1,3,14,3.3,29,37,27,158,-0.14,0
16,0,1,3,1.9,2,75,18,27,0.84,0
0,1,0,2,0.5,51,38,80,152,-0.44,1
14,0,1,6,3.6,1,61,30,158,-0.45,1
1,0,3,18,1.5,2,54,27,44,0.61,0
45,1,3,7,2.0,68,49,1,43,-0.22,0
20,1,0,15,2.4,60,47,49,84,0.54,0
15,1,3,12,0.4,3,60,100,2,-0.2,0
34,1,3,14,3.7,51,0,56,160,-0.68,0
17,1,2,3,4.3,31,9,21,185,-0.48,1
35,0,3,17,0.5,84,67,44,5,0.52,0
41,1,2,1,1.1,69,62,36,121,-0.85,1
13,0,2,7,4.4,65,55,72,141,-0.01,0
55,1,2,12,1.5,12,3,61,178,0.75,0
26,1,0,17,1.2,16,53,5,148,-0.09,0
1,0,2,17,3.1,83,30,28,26,-0.77,0
12,0,3,19,2.1,21,51,17,116,0.76,0
58,0,0,11,1.7,65,44,88,19,0.35,0
48,0,1,16,4.8,56,95,93,142,-0.6,0
23,0,1,2,2.9,65,49,55,73,-0.18,0
43,0,2,8,3.6,26,26,44,117,-0.74,0
59,0,3,9,3.6,17,62,25,176,-0.38,0
56,1,3,15,0.1,29,40,88,81,-0.79,0
51,0,2,12,2.5,82,20,16,19,0.24,0
6,1,1,15,4.5,84,67,54,170,0.12,0
54,1,2,19,1.8,28,4,0,77,0.29,0
29,1,0,13,2.1,11,45,98,59,-0.52,0
23,1,3,4,4.6,22,65,21,188,0.78,0
50,0,0,6,2.3,8,91,1,98,-0.99,1
21,1,3,1,0.7,3,76,76,190,0.63,1
44,1,2,19,4.6,20,49,34,181,0.24,0
46,0,3,3,1.0,63,32,7,158,0.29,1
17,1,1,15,4.8,53,65,12,72,0.94,0
49,1,0,9,4.6,65,64,17,186,-0.28,0
53,0,2,12,0.7,7,43,74,23,-0.99,0
4,1,3,2,3.6,45,56,64,171,0.88,0
38,1,0,15,3.2,37,13,45,46,0.41,0
24,0,0,6,0.6,36,60,60,166,-0.7,1
42,1,3,13,0.4,5,87,68,58,-0.95,0
40,0,1,8,3.9,32,84,27,45,-0.25,0
20,1,1,6,0.8,3,65,82,142,0.26,1
29,1,2,2,1.4,76,40,62,171,0.4,0
45,1,3,6,4.9,39,81,19,175,-0.81,0
47,1,2,19,2.9,10,15,47,150,0.81,0
30,1,3,16,0.5,6,64,25,166,0.37,0
1,0,2,6,2.0,34,0,2,136,-0.19,1
10,0,0,5,4.3,25,72,77,122,-0.14,0
5,1,2,9,1.4,94,0,66,2,-0.88,0
54,1,3,7,2.3,14,50,62,121,0.12,0
5,1,3,15,0.0,52,94,2,154,-0.76,0
4,0,1,1,4.1,19,26,78,133,-0.61,1
1,1,2,13,2.9,8,19,14,94,0.92,0
2,1,1,12,3.2,51,28,30,198,-0.77,1
31,0,1,5,4.7,6,81,96,130,0.81,0
46,0,1,0,3.9,58,3,48,113,-0.92,1
47,0,0,13,1.2,64,76,95,147,0.11,0
12,0,1,10,1.0,44,37,72,188,0.33,1
44,0,3,3,4.9,38,99,68,65,0.09,0
20,1,0,14,3.5,11,60,23,55,-0.87,0
8,0,0,8,3.2,42,82,41,56,0.58,0
30,0,3,11,4.9,18,51,19,190,-0.81,1
59,1,2,9,2.2,36,37,81,198,-0.27,0
25,1,2,5,0.4,20,31,58,55,0.46,0
18,0,2,6,2.0,18,96,89,64,-0.96,0
5,1,3,16,0.5,49,50,6,200,-0.97,1
48,1,3,9,1.9,96,58,31,200,-0.41,0
39,1,1,10,4.0,44,54,62,96,-0.56,0
31,0,1,11,2.9,23,70,94,125,0.89,0
19,1,3,19,4.3,57,57,89,141,-0.94,0
6,1,3,17,1.7,63,30,65,89,0.22,0
60,1,3,5,1.9,63,27,54,97,0.69,0
56,1,3,7,0.0,29,62,59,33,0.17,0
23,0,0,1,2.7,99,94,57,96,-0.17,0
36,1,1,7,4.3,90,13,6,198,-0.68,1
9,0,2,0,2.8,82,65,43,82,-0.34,0
3,0,3,8,2.5,95,45,28,33,-0.21,0
39,1,3,9,2.2,48,61,35,143,-0.22,0
18,0,0,11,2.5,6,43,8,107,-0.82,1
15,1,3,11,2.6,37,28,13,30,-0.75,0
60,0,0,9,1.0,69,61,11,146,0.66,0
1,1,2,13,2.4,89,8,84,18,0.93,0
37,0,0,4,1.9,81,91,71,2,-0.9,0
35,0,2,14,0.6,74,3,87,68,0.91,0
