day,read,duration,streak,time_of_day,reflection,prev_day_read,label
1,1,13,1,0,1,0,0
2,1,10,2,1,1,1,0
3,1,17,3,1,1,1,0
4,1,17,4,0,1,1,0
5,1,10,5,0,1,1,0
6,0,0,0,0,0,1,1
7,0,0,0,0,0,0,1
8,1,5,1,1,1,0,0
9,1,16,2,0,1,1,1
10,1,10,3,0,1,1,0
11,0,0,0,0,0,1,1
12,0,0,0,0,0,0,1
13,1,15,1,0,1,0,0
14,0,0,0,0,0,1,0
15,1,15,1,0,0,0,0
16,0,0,0,1,0,1,0
17,1,9,1,1,1,0,0
18,1,12,2,0,0,1,0
19,1,10,3,0,1,1,0
20,0,0,0,1,0,1,1
21,1,10,1,1,1,0,0
22,1,15,2,0,0,1,0
23,1,13,3,0,1,1,0
24,1,14,4,1,1,1,0
25,0,0,0,0,0,1,1
26,1,8,1,0,1,0,1
27,1,16,2,0,0,1,1
28,1,8,3,1,1,1,0
29,1,19,4,1,1,1,0
30,1,8,5,0,1,1,0
31,0,0,0,1,0,1,0
32,1,9,1,1,1,0,0
33,0,0,0,0,0,1,0
34,1,11,1,1,1,0,1
35,0,0,0,1,0,1,0
36,0,0,0,1,0,0,1
37,0,0,0,0,0,0,1
38,1,19,1,1,1,0,1
39,1,18,2,0,0,1,0
40,1,14,3,1,1,1,0
41,0,0,0,1,0,1,1
42,1,7,1,0,0,0,0
43,1,18,2,0,0,1,0
44,1,18,3,0,0,1,0
45,0,0,0,0,0,1,1
46,0,0,0,1,0,0,1
47,1,15,1,1,0,0,1
48,1,5,2,0,1,1,0
49,1,12,3,1,0,1,0
50,1,7,4,0,1,1,0
51,1,10,5,1,0,1,0
52,0,0,0,1,0,1,0
53,0,0,0,1,0,0,1
54,1,19,1,0,1,0,1
55,1,14,2,0,1,1,0
56,0,0,0,0,0,1,1
57,1,5,1,1,1,0,0
58,0,0,0,1,0,1,0
59,1,6,1,1,1,0,0
60,1,15,2,1,1,1,0
61,1,9,3,1,1,1,0
62,1,12,4,0,0,1,0
63,0,0,0,0,0,1,1
64,1,6,1,0,1,0,0
65,0,0,0,1,0,1,1
66,1,16,1,1,1,0,0
67,1,13,2,0,1,1,0
68,0,0,0,1,0,1,1
69,0,0,0,1,0,0,1
70,1,20,1,1,0,0,0
71,1,5,2,0,1,1,0
72,1,10,3,1,1,1,0
73,0,0,0,0,0,1,0
74,1,20,1,0,0,0,1
75,0,0,0,1,0,1,0
76,0,0,0,0,0,0,1
77,1,7,1,1,0,0,1
78,0,0,0,0,0,1,0
79,1,19,1,0,0,0,0
80,1,7,2,0,1,1,0
81,1,19,3,0,1,1,0
82,0,0,0,0,0,1,0
83,1,6,1,0,0,0,0
84,0,0,0,1,0,1,1
85,0,0,0,1,0,0,1
86,0,0,0,0,0,0,1
87,1,11,1,0,0,0,1
88,1,19,2,1,0,1,1
89,1,8,3,1,0,1,0
90,0,0,0,0,0,1,1
91,0,0,0,1,0,0,1
92,1,20,1,0,1,0,0
93,1,19,2,0,1,1,0
94,0,0,0,1,0,1,0
95,1,11,1,1,1,0,0
96,0,0,0,1,0,1,1
97,1,16,1,0,1,0,0
98,0,0,0,1,0,1,1
99,0,0,0,0,0,0,1
100,1,20,1,1,1,0,1
101,1,7,2,0,1,1,1
102,1,5,3,0,1,1,0
103,0,0,0,0,0,1,0
104,1,10,1,0,1,0,1
105,0,0,0,1,0,1,0
106,1,16,1,1,1,0,0
107,1,11,2,1,1,1,1
108,0,0,0,0,0,1,1
109,1,9,1,1,1,0,0
110,1,11,2,0,0,1,0
111,0,0,0,1,0,1,0
112,0,0,0,0,0,0,1
113,0,0,0,1,0,0,1
114,1,7,1,0,1,0,0
115,1,12,2,1,0,1,0
116,1,11,3,1,0,1,0
117,1,12,4,0,0,1,0
118,1,17,5,0,0,1,0
119,1,18,6,0,1,1,0
120,1,19,7,1,1,1,0
121,1,8,8,1,0,1,0
122,0,0,0,0,0,1,0
123,0,0,0,0,0,0,1
124,1,17,1,0,1,0,0
125,1,13,2,0,1,1,1
126,0,0,0,1,0,1,0
127,0,0,0,0,0,0,1
128,0,0,0,0,0,0,1
129,0,0,0,0,0,0,1
130,0,0,0,1,0,0,1
131,1,19,1,0,0,0,0
132,1,15,2,1,0,1,0
133,0,0,0,0,0,1,0
134,1,12,1,0,1,0,0
135,0,0,0,1,0,1,0
136,1,19,1,0,0,0,0
137,0,0,0,1,0,1,1
138,0,0,0,1,0,0,1
139,1,15,1,0,0,0,1
140,1,17,2,0,1,1,0
141,0,0,0,0,0,1,1
142,1,7,1,1,1,0,0
143,1,5,2,0,1,1,0
144,1,10,3,0,1,1,0
145,1,11,4,0,1,1,0
146,0,0,0,0,0,1,1
147,0,0,0,1,0,0,1
148,0,0,0,1,0,0,1
149,1,20,1,0,0,0,1
150,1,20,2,0,1,1,1
151,0,0,0,1,0,1,0
152,0,0,0,1,0,0,1
153,1,14,1,0,1,0,0
154,1,15,2,0,0,1,0
155,1,18,3,1,0,1,0
156,0,0,0,0,0,1,1
157,1,7,1,0,1,0,0
158,0,0,0,1,0,1,0
